,,VSPD kn,WSPD mph,% Channel Occupied,Yaw deg,LOA ft,Beam ft,GST mph
ch,count,29841.0,28523.0,29841.0,29841.0,29841.0,29841.0,28523.0
ch,mean,14.46,15.29,21.09,1.49,984.81,133.1,20.08
ch,std,2.12,7.2,9.21,1.4,166.01,20.74,8.92
ch,min,1.3,0.67,9.8,0.0,656.0,98.0,2.24
ch,25%,13.6,9.84,14.6,1.0,886.0,105.0,13.42
ch,50%,14.8,15.44,19.62,1.0,997.0,138.0,20.13
ch,75%,15.9,20.13,23.62,2.0,1099.0,151.0,25.73
ch,max,30.9,37.36,75.0,18.0,1210.0,171.0,55.92
sv,count,26726.0,25602.0,26726.0,26726.0,26726.0,26726.0,25602.0
sv,mean,14.04,13.32,27.93,1.24,1009.17,135.36,17.81
sv,std,1.7,6.56,8.84,1.27,155.8,21.1,8.3
sv,min,5.9,0.0,16.33,0.0,656.0,98.0,2.24
sv,25%,13.2,8.28,23.0,0.0,935.0,105.0,11.18
sv,50%,14.3,13.2,26.33,1.0,1059.0,141.0,17.9
sv,75%,15.2,17.67,29.67,2.0,1102.0,151.0,23.04
sv,max,19.1,34.45,121.67,15.0,1210.0,171.0,44.74
